1,1000,8,0.000000
1,1000,16,0.000000
1,1000,32,0.000013
1,1000,64,0.000089
1,1000,128,0.000384
1,1000,256,0.001603
1,1000,512,0.006443
1,1000,1024,0.025700
1,1000,2048,0.104554
1,1000,4096,0.415763
1,1000,8192,1.647216

2,1000,8,0.000007
2,1000,16,0.000007
2,1000,32,0.000026
2,1000,64,0.000093
2,1000,128,0.000523
2,1000,256,0.000940
2,1000,512,0.003592
2,1000,1024,0.014169
2,1000,2048,0.053874
2,1000,4096,0.222818
2,100,8192,0.887434


3,1000,8,0.000003
3,1000,16,0.000005
3,1000,32,0.000005
3,1000,64,0.000019
3,1000,128,0.000084
3,1000,256,0.000221
3,1000,512,0.000702
3,1000,1024,0.002472
3,1000,2048,0.008982
3,1000,4096,0.034386
3,1000,8192,0.128812
3,100,16384,0.511906
3,100,32768,2.148358
